generation,mean_performance,diversity,selection_method,p_m,run
99,54.24397305271525,0.09592444096203052,elite,0.1,1
100,54.257900153873564,0.06124382109539799,elite,0.1,1
101,54.77743190948915,0.0570975882453251,elite,0.1,1
102,55.11407343743765,0.09085520273400248,elite,0.1,1
103,55.38713262847757,0.0999284735827584,elite,0.1,1
104,55.819500451275964,0.07864235812525931,elite,0.1,1
105,56.09203805262066,0.03288946848992515,elite,0.1,1
106,56.2198926513297,0.03849821076116646,elite,0.1,1
107,56.19096427777394,0.08607843275715023,elite,0.1,1
108,56.432955799472765,0.12123524627067196,elite,0.1,1
109,57.05768188225208,0.12171274287195832,elite,0.1,1
110,57.289783362849995,0.0878937181508665,elite,0.1,1
111,57.64584195260729,0.09939180540210664,elite,0.1,1
112,57.91510043934403,0.09940110155408843,elite,0.1,1
