generation,mean_performance,diversity,selection_method_1,selection_method_2,A_and_B,run
62,32.60956302125426,0.17278368969856187,elite,roulette,0.1,1
63,32.629919259320644,0.17472949342490343,elite,roulette,0.1,1
64,33.044611103330055,0.15227209031227143,elite,roulette,0.1,1
65,32.99996011512288,0.14957660761458055,elite,roulette,0.1,1
66,33.160234664521056,0.13963075699652153,elite,roulette,0.1,1
67,33.39951509600194,0.14847228334530482,elite,roulette,0.1,1
68,33.231766774628824,0.159847223207787,elite,roulette,0.1,1
69,33.081926413053736,0.17480160680086135,elite,roulette,0.1,1
70,33.24015768691094,0.173687442830279,elite,roulette,0.1,1
71,33.500121571119024,0.16478149221086533,elite,roulette,0.1,1
72,33.75115347503869,0.1322705841898636,elite,roulette,0.1,1
73,33.731988643391546,0.14431557492379585,elite,roulette,0.1,1
74,33.53740667346664,0.15490045932811958,elite,roulette,0.1,1
75,33.51119341723809,0.15266420642857084,elite,roulette,0.1,1
76,33.53176979972226,0.14879853567366474,elite,roulette,0.1,1
77,33.48184520947553,0.167527597081902,elite,roulette,0.1,1
78,34.16905820578908,0.17831323824222509,elite,roulette,0.1,1
79,34.66323782838191,0.18565694355908433,elite,roulette,0.1,1
80,34.67053873883374,0.18332923022969236,elite,roulette,0.1,1
81,35.05918767301073,0.18255143058561032,elite,roulette,0.1,1
82,35.489205671775686,0.19157903755486358,elite,roulette,0.1,1
83,35.45761398718105,0.2103085949268502,elite,roulette,0.1,1
84,35.39454451165293,0.22504224536376327,elite,roulette,0.1,1
85,35.14016571982629,0.2435988534956941,elite,roulette,0.1,1
86,35.189865949992026,0.24407445057876753,elite,roulette,0.1,1
87,35.5125497124526,0.23719763975735286,elite,roulette,0.1,1
88,35.51277714388733,0.23857561698047625,elite,roulette,0.1,1
89,35.520182173488394,0.24747976173983396,elite,roulette,0.1,1
90,35.94314401954693,0.27537404494835815,elite,roulette,0.1,1
91,35.87659178708045,0.258618499380855,elite,roulette,0.1,1
92,35.772010370211696,0.2542174366570922,elite,roulette,0.1,1
93,35.53431450493069,0.2554653146543963,elite,roulette,0.1,1
94,35.69953745977943,0.22499166040607724,elite,roulette,0.1,1
95,36.09921047830897,0.1987370152176331,elite,roulette,0.1,1
96,36.20391117239194,0.17614227081363384,elite,roulette,0.1,1
97,36.566957746069534,0.16258400224126524,elite,roulette,0.1,1
98,36.72551092450831,0.14820840355364667,elite,roulette,0.1,1
99,36.74562698417284,0.15832127958039915,elite,roulette,0.1,1
100,36.87941446623981,0.16195057670591922,elite,roulette,0.1,1
101,37.13533807922051,0.1465729521733847,elite,roulette,0.1,1
102,37.38978405149021,0.1383194794950865,elite,roulette,0.1,1
103,37.26818205134039,0.14654791903998923,elite,roulette,0.1,1
104,37.28779688245493,0.17554337920913987,elite,roulette,0.1,1
105,37.696905120064244,0.17153164517072142,elite,roulette,0.1,1
106,37.97359260498262,0.16015286335857473,elite,roulette,0.1,1
107,37.70537201762836,0.17023946505551177,elite,roulette,0.1,1
108,37.393533810577225,0.17428722695846355,elite,roulette,0.1,1
109,37.761888943093226,0.17876988834350102,elite,roulette,0.1,1
110,37.80090389609896,0.1881010342094748,elite,roulette,0.1,1
111,37.98638506006147,0.18585794636196243,elite,roulette,0.1,1
112,37.982641023072595,0.185902833104592,elite,roulette,0.1,1
113,38.23946839503646,0.17297748409496272,elite,roulette,0.1,1
114,38.5411740694326,0.16538309246349395,elite,roulette,0.1,1
115,38.28109639814275,0.1713670017153628,elite,roulette,0.1,1
116,38.7752882497675,0.16526244651028082,elite,roulette,0.1,1
117,38.89513517197305,0.1736760755226252,elite,roulette,0.1,1
118,38.991127719076296,0.17970111682510906,elite,roulette,0.1,1
119,39.39979120256137,0.17616199566640114,elite,roulette,0.1,1
120,39.11818366569498,0.2046316733690856,elite,roulette,0.1,1
121,38.89684408852566,0.22094152869995887,elite,roulette,0.1,1
122,38.93101144909169,0.22393669239655103,elite,roulette,0.1,1
123,39.258467482828344,0.21032314246696437,elite,roulette,0.1,1
124,38.85706463218819,0.21961416436636094,elite,roulette,0.1,1
125,38.68790894051161,0.2496616345708362,elite,roulette,0.1,1
126,39.12984320925566,0.2832999914419129,elite,roulette,0.1,1
127,39.36709209270568,0.2936513605274372,elite,roulette,0.1,1
128,39.69740321711344,0.30943173478932895,elite,roulette,0.1,1
