generation,mean_performance,diversity,selection_method,end_condition
132,59.64815078047442,0.06668220494477271,elite,max_generations
133,59.549618053314916,0.060530732020062844,elite,max_generations
134,59.66391589081691,0.04708472885424616,elite,max_generations
135,59.42194507059967,0.04897031651524817,elite,max_generations
136,59.64132231213931,0.03229077090235757,elite,max_generations
137,59.62038995698888,0.040389478717570426,elite,max_generations
138,59.95916815287907,0.03779762468228803,elite,max_generations
139,59.88901376761341,0.04684917246454438,elite,max_generations
140,60.005723801675565,0.04096258620228111,elite,max_generations
141,59.955720351354366,0.04978361546714116,elite,max_generations
142,60.1523395576854,0.03877764991737574,elite,max_generations
143,59.90478811061043,0.05416987292751998,elite,max_generations
144,59.89890233171188,0.05377925870582507,elite,max_generations
145,60.08862479666934,0.04352695019590855,elite,max_generations
146,60.23535367429553,0.04610602800148997,elite,max_generations
147,60.059708177566215,0.06287762827798317,elite,max_generations
148,60.29295217303528,0.059305681903385976,elite,max_generations
149,60.26457523763019,0.03664278637626147,elite,max_generations
150,60.272295263393495,0.044376557809810056,elite,max_generations
0,19.226527031572832,1.5073959774734274,roulette,max_generations
1,19.87954908727777,1.54586333265108,roulette,max_generations
2,20.769475053554928,1.5014271840845164,roulette,max_generations
3,20.26989691295032,1.34372239847041,roulette,max_generations
4,20.172408647039244,1.434399860145309,roulette,max_generations
5,20.93191188765296,1.4474313982433473,roulette,max_generations
6,21.679305721238332,1.3484891126246932,roulette,max_generations
7,22.962430153553285,1.297893941873379,roulette,max_generations
8,22.831477050040736,1.4238043042702226,roulette,max_generations
9,24.290486423082577,1.2975857995692697,roulette,max_generations
10,25.195284131033965,1.3026550316080692,roulette,max_generations
11,25.746303504019046,1.2348528967912202,roulette,max_generations
12,25.610204404950434,1.0210700836608384,roulette,max_generations
13,25.87402341243745,1.1286004466056174,roulette,max_generations
14,26.45320995816244,1.0746996208225663,roulette,max_generations
15,27.006758523673966,0.9958235696209993,roulette,max_generations
16,27.606100367191324,0.9996972744064588,roulette,max_generations
17,27.765005674878108,0.901648216998446,roulette,max_generations
18,27.53192964875794,0.8711134489644392,roulette,max_generations
19,27.588705245588322,0.8379216815559114,roulette,max_generations
20,27.840026903821226,0.8142917047924088,roulette,max_generations
21,27.79654866798707,0.8527033887959851,roulette,max_generations
22,27.78712411155241,0.8744278769618292,roulette,max_generations
23,27.515411249841495,0.8754935412795081,roulette,max_generations
24,27.732142751781634,0.8633407678544999,roulette,max_generations
25,27.977234430152716,0.8160384426024816,roulette,max_generations
26,28.222553353005225,0.8126183897190833,roulette,max_generations
27,27.61150402840025,0.8016913804356722,roulette,max_generations
28,27.471340281070514,0.7296242860285874,roulette,max_generations
29,27.564391790238066,0.6524491748002913,roulette,max_generations
30,27.29574936925646,0.6445223333592035,roulette,max_generations
31,27.71344597419669,0.6360902158750212,roulette,max_generations
32,27.931753148760425,0.5775968473759786,roulette,max_generations
33,28.001315638987013,0.5622092909470123,roulette,max_generations
34,28.813706448780522,0.5091522762495643,roulette,max_generations
35,29.010466597596977,0.4618455939079309,roulette,max_generations
36,29.277478682552033,0.49277525776783887,roulette,max_generations
37,29.397144583910034,0.4673494515600716,roulette,max_generations
38,29.215287708399156,0.47409588961856347,roulette,max_generations
39,29.43040356871427,0.46358229792943995,roulette,max_generations
40,29.719944654453865,0.4413622690128615,roulette,max_generations
41,29.818662880977513,0.4639364326114008,roulette,max_generations
42,29.771930343595745,0.394772551936172,roulette,max_generations
43,29.80208436158949,0.3753768792780435,roulette,max_generations
